SMA,WMA,Momentum,StochasticD,StochasticK,Williams,RSI,MACD,ADO,CCI,rendimento
9.412,9.344909090909091,-0.7400000000000002,21.076521989528487,29.01234567901237,70.98765432098763,54.005400540054026,0.1793277556141316,-1.1176470588235374,11.743450767840557,-3.1380753138075423
9.34,9.32090909090909,-0.3900000000000005,19.671494414820263,35.507246376811594,64.49275362318842,53.3575581395349,0.153804026702465,0.9090909090909104,34.09296436968665,0.21598272138227959
9.272,9.257272727272726,-0.33,19.375226619514383,17.391304347826175,82.60869565217382,52.77856135401976,0.1258868785810079,-0.4482758620689606,-36.24298111281365,-3.124999999999989
9.235,9.198727272727274,-0.4100000000000001,22.35412272341048,18.181818181818183,81.81818181818183,52.455633512175,0.0969538320586061,0.6571428571428557,-26.258456599015037,-0.444938820912133
9.241,9.232363636363637,0.0999999999999996,29.1932136325014,71.59090909090912,28.409090909090885,52.42290748898679,0.0753943761985729,1.0192307692307725,70.17543859649113,5.251396648044704
9.246,9.255818181818183,0.4599999999999991,34.17338446837693,65.90909090909086,34.09090909090914,52.38527352864922,0.0587299370651546,0.4193548387096792,96.17447264926614,-0.5307855626327074
9.284,9.263818181818182,0.0599999999999987,41.12385936661302,56.81818181818177,43.18181818181823,52.568319838056695,0.0447327451368474,0.1739130434782645,56.01535324457205,-0.8537886872998945
9.3,9.283090909090909,-0.0999999999999996,45.05837359098233,65.4320987654322,34.5679012345678,52.61397423191281,0.034484594118687,0.7777777777777821,72.9934808165012,1.0764262648008671
9.308000000000002,9.332181818181816,0.0099999999999997,49.50281803542677,87.65432098765437,12.345679012345627,52.61175898931003,0.0296779483818211,1.4814814814814783,147.5988700564976,1.9169329073482455
9.287,9.339818181818185,0.0899999999999998,50.01854881997476,52.6881720430108,47.31182795698921,52.43249672891641,0.0253411165228832,0.4054054054054052,103.27097691718672,-2.298850574712652
9.303999999999998,9.365818181818184,0.1500000000000003,53.24634651013805,61.29032258064521,38.70967741935479,52.48831775700938,0.0226244309486306,0.5000000000000032,67.19999999999992,0.8556149732620311
9.282999999999998,9.323272727272728,0.08,51.953686388585936,22.580645161290423,77.41935483870958,52.31507945581345,0.0158102585820875,-0.5333333333333357,-24.86218922263519,-3.8176033934252285
9.297999999999998,9.297272727272729,0.1900000000000012,53.14933856249898,29.34782608695667,70.65217391304333,52.35637342908442,0.00768381025733,0.8684210526315773,-2.972728447718953,0.7717750826901959
9.268,9.179454545454544,-0.7699999999999996,47.59621698528101,-37.34939759036158,137.34939759036158,52.13768910326687,-0.008011035164963,0.0925925925925907,-98.29323462883016,-5.361050328227568
9.185,9.056181818181818,-0.7799999999999994,39.91081028671641,-5.263157894736891,105.26315789473688,51.65213647615976,-0.0286468449995043,0.6216216216216212,-97.06019598693436,-0.6936416184971206
9.108,8.94981818181818,-0.6899999999999995,34.023026195807326,7.031249999999993,92.96875,51.2161590524535,-0.0512407433891931,0.884615384615387,-73.10668877833001,0.11641443538998875
9.041,8.861090909090908,-0.7700000000000014,29.200583013989142,8.59374999999996,91.40625000000004,50.84763390535625,-0.0735934323330426,0.2777777777777822,-67.17123935666949,0.23255813953488857
8.953,8.764545454545456,-1.0600000000000005,22.96040344047622,3.030303030302969,96.96969696969704,50.383631713555005,-0.0961460574699611,-0.0714285714285705,-55.99797749968402,-1.2761020881670415
8.84,8.671272727272727,-0.91,13.954971341710774,-2.400000000000091,102.40000000000008,49.80854494155584,-0.1185447794968941,0.4444444444444455,-53.594771241830514,-0.8225616921269108
8.717000000000002,8.540363636363637,-1.3100000000000005,6.000968952224501,-26.851851851851936,126.85185185185192,49.201626500049606,-0.1441498656330599,-0.1034482758620664,-93.9864595778576,-3.791469194312802
8.595000000000002,8.44818181818182,-0.8599999999999994,0.5750616941599922,7.031250000000121,92.96874999999989,48.61856877867813,-0.1689595091511699,1.0540540540540575,-65.67028985507193,1.1083743842364768
8.481000000000003,8.327272727272726,-1.2100000000000009,-3.167377821969045,-14.843749999999948,114.84374999999996,48.0904280904281,-0.1957622607930039,0.0833333333333314,-95.28408176404297,-3.410475030450688
8.362000000000004,8.230727272727274,-0.7000000000000002,-5.5678092856265415,5.343511450381703,94.6564885496183,47.55264655663063,-0.2218418648593932,0.6666666666666666,-91.7626973965002,0.2522068095838659
8.320000000000004,8.206727272727273,-0.3599999999999994,1.9171304734096188,37.50000000000002,62.49999999999998,47.38470191226097,-0.2416672625718376,0.5833333333333334,-54.56570155901997,3.5220125786163514
8.283000000000003,8.188545454545455,-0.379999999999999,6.835969627369295,43.925233644859865,56.074766355140135,47.24256186856984,-0.2561625194926403,0.4230769230769212,-2.597402597402888,-0.12150668286755595
8.284000000000002,8.248,-0.0099999999999997,15.68840018292484,95.55555555555544,4.444444444444545,47.28717573986117,-0.2603478808122087,1.5714285714285732,113.7793024585474,4.744525547445244
8.335000000000003,8.401818181818182,0.620000000000001,29.993860347760016,151.6483516483517,-51.648351648351706,47.56655014788923,-0.2496390119873506,0.7808219178082191,193.4793187347934,6.039488966318252
8.419,8.586363636363638,0.91,40.87964123354091,111.8881118881119,-11.888111888111885,47.98277225982247,-0.2261958607578614,0.7435897435897403,198.94541826991588,2.409638554216853
8.513000000000002,8.76109090909091,1.2600000000000016,50.88012027545709,97.60479041916172,2.3952095808382725,48.42577417407058,-0.1948274043208143,0.6470588235294124,145.13681787265227,0.3208556149732811
8.654,8.946000000000002,1.3199999999999985,63.97466218578848,104.0935672514619,-4.0935672514619,49.05020352781549,-0.1573267334799578,0.978723404255316,127.96856313001882,1.5991471215351716
